ID,タイトル,投稿テキスト,文字数,ステータス,予約日時,投稿日時,圭一郎さん確認,メモ
1,X 自己紹介投稿 固定推奨,"はじめまして
サウンドヒーリング協会です

2001年設立、今年で25年目
「音の力」を研究・実践している団体です

やっていること：
・プラネタリウムでの音の体験イベント
・整形外科との連携による無料体験会
・米国Well-Beingクルーズでの講演＋体験ワークショップ
・企業向け自然音プログラムの制作・提供
・資格認定実技研修会の開催

累計50,000名以上の方に
イベント・体験会にご参加いただいています

「なんとなく疲れが取れない」
「心がざわざわして落ち着かない」

そんな日常に
自然の音という選択肢を

#KITAサウンドヒーリング ...",280,下書き,,,,
2,3/19（水）名言・理念 名言,"「音は心の糧である」

── 喜田圭一郎
（サウンドヒーリング協会理事長）

食べ物が体の糧なら
音は心の糧

毎日、どんな音を
「食べて」いますか？

#KITAサウンドヒーリング #音は心の糧 #名言",102,下書き,,,,
3,3/20（木）イベント告知 イベント,"【食＋音のウェルネス体験】

太陽食品 × サウンドヒーリング協会
コラボイベント開催！

📅 4/2(木)〜4(土) 3日間
📍 太陽食品世田谷店（尾山台駅徒歩３分）
💰 500円で体感音響ケア体験
🍵 オーガニック飲料の試飲付き

オーガニック食品とここちよい音
体の外と内、両方からのケアを
気軽に体験できます

#音のある暮らし #太陽食品 #オーガニック #KITAサウンドヒーリング",197,下書き,,,,
4,3/21（金）科学データ・Tips Tips,"自然音を聴くおすすめタイミング：

・朝起きた時（5分）
・仕事の休憩時（10分）
・寝る前（15分）

特別な準備は不要
スマホのスピーカーでOKです

まずは今夜、寝る前に
試してみませんか？

#自然音 #睡眠 #セルフケア #KITAサウンドヒーリング",130,下書き,,,,
5,3/22（土）イベント告知 イベント,"【追加公演決定🌟】
スターライトヒーリング マラマハワイ

プラネタリウムで体感する
ハワイの星空×立体的な自然音

📅 4/12(日) 13:30〜
📍 さいたま市宇宙劇場
⏱ 投映時間 約50分

累計21,000名以上にご参加いただいた
人気プログラムです

▼ 詳細・お申込み
https://www.sound-healing.jp/starlight-healing_malama_hawaii_2025-2026.html

#スターライトヒーリング #プラネタリウム #KITAサウンドヒーリング",256,下書き,,,,
6,3/23（日）名言・理念 名言,"「病気になってから治すのではなく
病気にならない体をつくる」

東洋医学の「未病」の考え方

西洋医学と東洋の知恵
両方を取り入れる時代です

自然音のある暮らしも
その一つかもしれません

#未病 #予防医学 #KITAサウンドヒーリング",120,下書き,,,,
7,3/24（月）イベント告知 → 5月開催に変更 イベント,"【オンラインで気軽に体験】
音のウェルビーイング体験講座

ハワイや屋久島で収録した
世界の自然音と呼吸で整える
セルフケア講座です

📅 5/19(火) 10:30〜12:30
📅 5/21(木) 10:30〜12:30
💻 Zoom（ご自宅から参加OK）
💰 3,000円

▼ お申込み
https://www.sound-healing.jp/

#オンライン講座 #ウェルビーイング #KITAサウンドヒーリング",211,下書き,,,,
8,3/25（火）イベント告知 イベント,"【3つの音を体験できるWS】

自由が丘labにて開催
「3つのここちよい音」体験ワークショップ

自然音・体感音響・呼吸と声を
2時間でじっくり体験できます

📅 4/16(木) 満席　5/14(木) 受付中
⏰ 午前の会 10:30-12:30
⏰ 午後の会 13:30-15:30
📍 自由が丘lab

▼ 詳細
https://www.sound-healing.jp/workshop.html

#体験ワークショップ #自由が丘 #KITAサウンドヒーリング",235,下書き,,,,
9,3/26（水）科学データ・Tips Tips,"自然音の選び方ガイド：

・川のせせらぎ → 集中したい時
・波の音 → リラックスしたい時
・鳥のさえずり → 朝の目覚め
・雨音 → 眠りたい時

「どれが正解」ではなく
あなたが心地いいと感じるものを
選んでみてください

#自然音 #使い分け #リラックス #KITAサウンドヒーリング",147,下書き,,,,
10,3/27（木）イベント告知 イベント,"【資格取得を目指す方へ】
サウンドヒーリングファシリテーター
認定研修会 第88期

音の理論、ケアの実技
自分軸を整える内容を
3日間で学びます

📅 4/10(金)〜12(日)

25年の実績ある認定プログラムです

▼ 詳細
https://www.sound-healing.jp/

#資格取得 #ファシリテーター #KITAサウンドヒーリング",177,下書き,,,,
